target_id,evidence_class,clock,schedule,nu_u,phase,u,impact_analytic,impact_numerical,diagnostic_residual
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.23999999999999999,0.27639531957706842,0.27639531957706848,5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.24199999999999999,0.27754457742221761,0.27754457742221772,1.1102230246251565e-16
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.24399999999999999,0.27868909599918856,0.27868909599918867,1.1102230246251565e-16
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.246,0.27982893345973447,0.27982893345973459,1.1102230246251565e-16
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.248,0.28096414677602566,0.28096414677602577,1.1102230246251565e-16
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.25,0.28209479177387814,0.28209479177387825,1.1102230246251565e-16
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.252,0.28322092316478886,0.28322092316478897,1.1102230246251565e-16
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.254,0.28434259457682887,0.28434259457682887,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.25600000000000001,0.28545985858444339,0.28545985858444339,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.25800000000000001,0.28657276673720761,0.28657276673720761,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.26000000000000001,0.28768136958757967,0.28768136958757962,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.26200000000000001,0.28878571671769565,0.2887857167176956,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.26400000000000001,0.28988585676524609,0.28988585676524603,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.26600000000000001,0.29098183744847089,0.29098183744847084,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.26800000000000002,0.29207370559031143,0.29207370559031137,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.27000000000000002,0.29316150714175199,0.29316150714175193,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.27200000000000002,0.29424528720438514,0.29424528720438509,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.27400000000000002,0.29532509005223151,0.29532509005223145,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.27600000000000002,0.29640095915284459,0.29640095915284453,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.27800000000000002,0.29747293718772777,0.29747293718772772,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.28000000000000003,0.29854106607209235,0.2985410660720923,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.28200000000000003,0.29960538697398115,0.29960538697398109,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.28400000000000003,0.30066594033278293,0.30066594033278288,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.28600000000000003,0.30172276587716113,0.30172276587716113,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.28800000000000003,0.30277590264241927,0.30277590264241927,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.28999999999999998,0.30382538898732492,0.30382538898732492,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.29199999999999998,0.30487126261041214,0.30487126261041209,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.29399999999999998,0.30591356056578212,0.30591356056578212,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.29599999999999999,0.30695231927842159,0.30695231927842159,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.29799999999999999,0.30798757455905523,0.30798757455905523,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.29999999999999999,0.30901936161855165,0.30901936161855165,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.30199999999999999,0.31004771508189644,0.31004771508189638,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.30399999999999999,0.31107266900175012,0.31107266900175007,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.30599999999999999,0.31209425687160591,0.31209425687160591,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.308,0.31311251163856024,0.31311251163856024,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.31,0.31412746571571093,0.31412746571571087,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.312,0.31513915099419604,0.31513915099419604,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.314,0.31614759885488658,0.31614759885488652,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.316,0.31715284017974338,0.31715284017974338,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.318,0.31815490536285224,0.31815490536285218,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.32000000000000001,0.31915382432114614,0.31915382432114614,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.32200000000000001,0.32014962650482759,0.32014962650482759,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.32400000000000001,0.32114234090749888,0.32114234090749882,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.32600000000000001,0.32213199607601195,0.3221319960760119,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.32800000000000001,0.32311862012004716,0.32311862012004716,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.33000000000000002,0.32410224072142874,0.32410224072142868,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.33200000000000002,0.32508288514318701,0.32508288514318695,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.33400000000000002,0.32606058023837547,0.32606058023837542,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.33600000000000002,0.3270353524586504,0.32703535245865034,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.33800000000000002,0.32800722786262082,0.32800722786262082,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.34000000000000002,0.32897623212397709,0.32897623212397709,0
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.34200000000000003,0.32994239053940377,0.32994239053940372,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.34400000000000003,0.33090572803628532,0.33090572803628526,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.34600000000000003,0.33186626918021001,0.33186626918020995,-5.5511151231257827e-17
F06,verification,operational_u,"constant_rate_[0,T_u]",0,execution,0.34800000000000003,0.33282403818227912,0.33282403818227907,-5.5511151231257827e-17
