target_id,evidence_class,alpha_L,lag,C_exact,C_mc_mean,C_mc_sd,absolute_error
F03,diagnostic_simulation,1.5,105,0.04980879649604554,0.05565297532046757,0.028405146396918914,0.0058441788244220291
F03,diagnostic_simulation,1.5,106,0.04957329786984107,0.055424213282043062,0.028619530828449532,0.005850915412201993
F03,diagnostic_simulation,1.5,107,0.049341108266439011,0.05513915973698371,0.027699460172566713,0.0057980514705446989
F03,diagnostic_simulation,1.5,108,0.049112150913295259,0.056453120945213639,0.028379484837654262,0.0073409700319183799
F03,diagnostic_simulation,1.5,109,0.048886351508586827,0.055974392733795092,0.028120266254686794,0.007088041225208265
F03,diagnostic_simulation,1.5,110,0.048663638119912443,0.055390712655609575,0.0273238243165932,0.006727074535697132
F03,diagnostic_simulation,1.5,111,0.048443941088023607,0.05546152583834861,0.027675040797284282,0.0070175847503250038
F03,diagnostic_simulation,1.5,112,0.04822719293529347,0.055341523172742255,0.028579758021850966,0.0071143302374487849
F03,diagnostic_simulation,1.5,113,0.048013328278650243,0.055432372505543247,0.027803762332632175,0.007419044226893004
F03,diagnostic_simulation,1.5,114,0.047802283746719992,0.055271342975995119,0.026994596067346013,0.0074690592292751268
F03,diagnostic_simulation,1.5,115,0.047593997900941043,0.054292654629831044,0.026928119889259881,0.0066986567288900012
F03,diagnostic_simulation,1.5,116,0.047388411160426025,0.053537217396614101,0.027464478680254478,0.0061488062361880758
F03,diagnostic_simulation,1.5,117,0.047185465730363245,0.053543146316982607,0.028551455753846395,0.0063576805866193617
F03,diagnostic_simulation,1.5,118,0.046985105533763151,0.054194049445474873,0.027107942438281296,0.0072089439117117224
F03,diagnostic_simulation,1.5,119,0.046787276146364479,0.053637057532678181,0.027175824679237241,0.0068497813863137025
F03,diagnostic_simulation,1.5,120,0.046591924734530908,0.053577153237871343,0.02800835451447839,0.0069852285033404349
F03,diagnostic_simulation,1.5,121,0.046398999995976138,0.053084080405155276,0.028139602901065014,0.006685080409179138
F03,diagnostic_simulation,1.5,122,0.04620845210316591,0.052340070681087855,0.027955731427692431,0.0061316185779219448
F03,diagnostic_simulation,1.5,123,0.046020232649256462,0.052054033836982538,0.027744975825770565,0.0060338011877260761
F03,diagnostic_simulation,1.5,124,0.04583429459643569,0.052253644759941986,0.028250494166709942,0.0064193501635062961
F03,diagnostic_simulation,1.5,125,0.045650592226541171,0.052368339700556064,0.027864314110780927,0.0067177474740148929
F03,diagnostic_simulation,1.5,126,0.045469081093838244,0.052131914601286918,0.027925486324321271,0.0066628335074486733
F03,diagnostic_simulation,1.5,127,0.045289717979846995,0.052048149547548446,0.029227603108736348,0.0067584315677014506
F03,diagnostic_simulation,1.5,128,0.045112460850114298,0.052055981314118226,0.029217680944554028,0.0069435204640039272
F03,diagnostic_simulation,1.5,129,0.044937268812831707,0.052404442493750356,0.029209781862498597,0.0074671736809186484
F03,diagnostic_simulation,1.5,130,0.044764102079207981,0.052211904707382045,0.028917162109481545,0.0074478026281740647
F03,diagnostic_simulation,1.5,131,0.044592921925508379,0.05223786606008099,0.029233783240212561,0.0076449441345726107
F03,diagnostic_simulation,1.5,132,0.044423690656678359,0.051390775994992595,0.029472889017237245,0.0069670853383142356
F03,diagnostic_simulation,1.5,133,0.044256371571474426,0.050992133918041617,0.030178539023974861,0.0067357623465671909
F03,diagnostic_simulation,1.5,134,0.04409092892902889,0.050802450288156942,0.030085087743883424,0.0067115213591280518
F03,diagnostic_simulation,1.5,135,0.043927327916779085,0.050603223553389386,0.029630933483710972,0.0066758956366103003
F03,diagnostic_simulation,1.5,136,0.043765534619696254,0.050067173521419199,0.029356908523489187,0.0063016389017229446
F03,diagnostic_simulation,1.5,137,0.043605515990751374,0.050495788280465789,0.029312295879929888,0.006890272289714415
F03,diagnostic_simulation,1.5,138,0.043447239822560615,0.050687770509072319,0.029321109835040739,0.0072405306865117036
F03,diagnostic_simulation,1.5,139,0.04329067472015459,0.050100188927692219,0.030106955319347609,0.0068095142075376286
F03,diagnostic_simulation,1.5,140,0.043135790074819505,0.050000190836781123,0.029135005221613063,0.0068644007619616185
F03,diagnostic_simulation,1.5,141,0.042982556038959764,0.050155914245256727,0.028658290801276028,0.0071733582062969634
F03,diagnostic_simulation,1.5,142,0.042830943501936669,0.050137976045984377,0.030054465955227757,0.0073070325440477077
F03,diagnostic_simulation,1.5,143,0.04268092406683742,0.049336643753268114,0.029828981628839481,0.0066557196864306944
F03,diagnostic_simulation,1.5,144,0.042532470028133353,0.049493320610687022,0.029666209903654688,0.0069608505825536696
F03,diagnostic_simulation,1.5,145,0.042385554350186767,0.04996583956427314,0.030065531345940991,0.0075802852140863727
F03,diagnostic_simulation,1.5,146,0.042240150646568754,0.04894216749746181,0.030226932219860194,0.0067020168508930555
F03,diagnostic_simulation,1.5,147,0.042096233160152513,0.049614117718905185,0.030238798676193029,0.0075178845587526716
F03,diagnostic_simulation,1.5,148,0.04195377674394702,0.048921548420586575,0.030828801909666598,0.0069677716766395545
F03,diagnostic_simulation,1.5,149,0.041812756842640159,0.048502834023550073,0.030533444645016748,0.0066900771809099147
